Date,Portfolio,VGT
6/5/2017,0.000936593,0.001085681
6/6/2017,-0.003442685,-0.001634083
6/7/2017,0.001434108,0.002179897
6/8/2017,0.00240939,0.004006093
6/9/2017,-0.024509637,-0.027741102
6/12/2017,-0.007119031,-0.007585193
6/13/2017,0.008437146,0.008694009
6/14/2017,-0.006469398,-0.005763538
6/15/2017,-0.003322373,-0.004688819
6/16/2017,0.000162604,-0.001613221
6/19/2017,0.015611088,0.016112759
6/20/2017,-0.007733076,-0.008309381
6/21/2017,0.006409315,0.006775476
6/22/2017,-0.004100001,0.001525439
6/23/2017,0.007626418,0.006577768
6/26/2017,-0.001960143,-0.005370243
6/27/2017,-0.019937103,-0.016809229
6/28/2017,0.008939321,0.01302346
6/29/2017,-0.016865237,-0.017685465
6/30/2017,-0.001926698,-0.001349147
7/3/2017,-0.000774672,-0.008098186
7/5/2017,0.008563352,0.010311182
7/6/2017,-0.006813268,-0.008994943
7/7/2017,0.007927191,0.013080736
7/10/2017,0.003264926,0.007267651
7/11/2017,-0.000206973,0.003856148
7/12/2017,0.007688663,0.013677253
7/13/2017,-0.001277638,0.002412849
7/14/2017,0.005062048,0.008173602
7/17/2017,9.67E-05,0.000607867
7/18/2017,0.001940868,0.004772152
7/19/2017,0.005309808,0.006024272
7/20/2017,-0.000528567,0.000948554
7/21/2017,-4.61E-05,-0.002155734
7/24/2017,0.005293019,0.003980049
7/25/2017,-0.002883851,-0.00121311
7/26/2017,0.002491138,0.001821876
7/27/2017,-0.006473539,-0.009063946
7/28/2017,0.003706948,-0.001427375
7/31/2017,-0.00060443,-0.00501754
8/1/2017,0.004617765,0.005321371
8/2/2017,0.00020007,0.00135611
8/3/2017,0.004253243,-0.002781358
8/4/2017,-0.002320517,0.001431064
8/7/2017,0.004035034,0.006102496
8/8/2017,-0.002111201,-0.001282664
8/9/2017,-0.001305795,-0.00094328
8/10/2017,-0.01772257,-0.02128015
8/11/2017,0.003342389,0.007866011
8/14/2017,0.011970769,0.016161453
8/15/2017,-0.001397016,0.001956352
8/16/2017,0.002938839,0.00343501
8/17/2017,-0.013105031,-0.019847647
8/18/2017,0.001906138,-0.000272053
8/21/2017,-0.000729761,-0.001162055
8/22/2017,0.009473259,0.014726673
8/23/2017,-0.004214063,-0.001821375
8/24/2017,0.000329823,-0.000138125
8/25/2017,-0.001077286,-0.000676177
8/28/2017,-0.000856385,0.0025683
8/29/2017,0.005627714,0.004056663
8/30/2017,0.005142762,0.009273112
8/31/2017,0.007465001,0.007397594
9/1/2017,-3.57E-05,-0.000725086
9/5/2017,-0.009828089,-0.008472587
9/6/2017,-0.000787548,0.001535371
9/7/2017,0.002686471,0.004663524
9/8/2017,0.005230112,-0.007957503
9/11/2017,0.011897986,0.014978904
9/12/2017,0.002250795,0.001777457
9/13/2017,-0.005556094,-0.001844992
9/14/2017,-0.000118826,-0.002698243
9/15/2017,0.002594944,0.002840465
9/18/2017,0.010437406,0.001055076
9/19/2017,0.008774895,0.003416542
9/20/2017,0.001220713,-0.004983998
9/21/2017,-0.001928922,-0.005597002
9/22/2017,0.004817352,0.00079084
9/25/2017,-0.009047897,-0.013640117
9/26/2017,-0.002431944,0.003291183
9/27/2017,0.010602029,0.012135992
9/28/2017,-0.004558239,0.00146416
9/29/2017,0.005345644,0.006288103
10/2/2017,0.00275218,0.002828186
10/3/2017,0.002777236,0.002559991
10/4/2017,0.000364142,-0.000589259
10/5/2017,0.002154471,0.009426678
10/6/2017,0.001089115,0.003052618
10/9/2017,0.000910148,0.002197574
10/10/2017,0.001230262,0.0006433
10/11/2017,0.002843695,0.004064703
10/12/2017,-0.00141007,0.000771095
10/13/2017,0.000692438,0.00455421
10/16/2017,0.002399341,0.002684527
10/17/2017,-0.003967657,-0.000512246
10/18/2017,0.002990669,0.003444058
10/19/2017,-7.13E-05,-0.003302847
10/20/2017,0.006254988,0.006689077
10/23/2017,-0.000950136,-0.003603983
10/24/2017,0.003441971,0.003235563
10/25/2017,-0.006432301,-0.00367325
10/26/2017,0.000473502,0.004197901
10/27/2017,0.004636722,0.02550965
10/30/2017,-0.002064226,0.003275651
10/31/2017,0.006648399,0.004366467
11/1/2017,-0.002983632,-0.000367763
11/2/2017,0.00412503,0.000735796
11/3/2017,-0.00049805,0.00796308
11/6/2017,0.001809756,0.004493914
11/7/2017,-0.00335168,-0.000421446
11/8/2017,0.001838134,0.005811917
11/9/2017,-0.007963325,-0.008906115
11/10/2017,0.004057107,0.000364391
11/13/2017,0.003567673,-0.000182129
11/14/2017,-0.000715376,-0.001763072
11/15/2017,-0.004769771,-0.007599161
11/16/2017,0.009323111,0.013784543
11/17/2017,0.003137921,-0.005072196
11/20/2017,0.005525605,0.003522411
11/21/2017,0.013723481,0.01228192
11/22/2017,-0.005403034,-0.002627835
11/24/2017,0.004963804,0.005757911
11/27/2017,-0.004249772,-0.001073428
11/28/2017,0.006277427,0.002500959
11/29/2017,-0.025679166,-0.025948919
11/30/2017,0.012872544,0.008312372
12/1/2017,-0.002869539,-0.005515387
12/4/2017,-0.033255498,-0.019440307
12/5/2017,-0.003940318,0.002298345
12/6/2017,-0.004111071,0.006387377
12/7/2017,0.010166746,0.00720541
12/8/2017,0.010088919,0.003796597
12/11/2017,-0.001171065,0.007982546
12/12/2017,-1.24E-05,-0.002540407
12/13/2017,-0.002166713,0.001033044
12/14/2017,-0.010816524,-0.000928131
12/15/2017,0.004747743,0.011479244
12/18/2017,0.009260411,0.009434992
12/19/2017,0.001572872,-0.005300129
12/20/2017,-0.002151994,-0.001074629
