Ticker,Strategy_Score,Lookback_Return_Ann,Lookback_ATRP
EA,-0.14546222,-0.67345339,0.01837201
EBAY,0.23614403,1.70446432,0.02864247
ECL,0.16565039,0.71363429,0.01709553
ED,0.31940200,1.29088662,0.01603799
EDU,-0.02818706,-0.23887360,0.03362930
EEM,0.07762538,0.20930907,0.01070000
EFA,0.19218087,0.48098879,0.00993172
EFV,0.19183891,0.48000325,0.00992903
EFX,0.18997974,1.19437864,0.02494791
EG,-0.00857315,-0.04332422,0.02005349
EIX,-0.62969732,-5.44054001,0.03428543
EL,0.15932312,1.33941592,0.03336077
ELS,-0.00751296,-0.03822399,0.02018944
ELV,0.22327051,1.33941051,0.02380575
EMB,0.10746148,0.14581867,0.00538468
EME,0.38391443,2.63996903,0.02728751
EMN,0.23144265,1.32436402,0.02270719
EMR,0.09258195,0.49899723,0.02138805
EMXC,0.10964024,0.29508110,0.01067999
ENB,0.25511516,0.89288054,0.01388854
ENTG,0.24772650,2.31429177,0.03707192
EOG,0.50545428,2.49087942,0.01955556
EPAM,-0.00051850,-0.00343949,0.02632371
EPD,0.34195889,1.42178052,0.01649902
EQH,0.34841663,2.08730374,0.02377312
EQIX,-0.13691998,-0.72116569,0.02090103
EQNR,0.06888285,0.40126245,0.02311622
EQR,-0.01305452,-0.06923961,0.02104715
EQT,0.41713887,2.86336355,0.02723926
ERIC,0.33377938,1.47734486,0.01756394
ES,0.05158730,0.25369728,0.01951518
ESGU,0.19156471,0.59723528,0.01237170
ESS,0.07096065,0.39660426,0.02217886
ESTC,0.04241887,0.35567344,0.03327299
ET,0.14157419,0.74538463,0.02089276
ETN,0.19488856,1.08613875,0.02211558
ETR,0.43672361,2.13975738,0.01944273
EVR,0.08549433,0.63436842,0.02944447
EVRG,0.17502513,0.63273951,0.01434577
EW,-0.16221751,-0.97370994,0.02381943
EWJ,-0.10407308,-0.30004311,0.01144049
EWT,0.08908249,0.37266375,0.01660062
EWY,0.40192022,1.80106318,0.01778233
EWZ,0.17282926,0.94732324,0.02175106
EXAS,-0.20869654,-2.26353839,0.04303998
EXC,0.27229130,1.18104211,0.01721199
EXE,0.22346876,1.27057959,0.02256236
EXP,0.19416618,1.31553849,0.02688620
EXPD,0.02065353,0.09769565,0.01877070
EXPE,0.04595179,0.27754984,0.02396834
EXR,0.08658722,0.48983653,0.02244899
EZU,0.39892128,1.17974917,0.01173551
F,0.20977991,1.36802902,0.02587801
FANG,0.31823498,1.97149845,0.02458374
FAST,0.36804022,1.71940414,0.01853882
FBTC,0.18441306,2.00136575,0.04306597
FCNCA,0.16461481,1.04142915,0.02510500
FCX,0.22785964,1.63187798,0.02841972
FDS,-0.13748727,-0.71386764,0.02060415
FDX,0.01435304,0.08355018,0.02309952
FE,0.00260839,0.00929883,0.01414669
FERG,0.09909423,0.61883878,0.02478156
FFIV,0.26392872,1.21033907,0.01819784
FHN,0.30408815,1.92901725,0.02517306
FICO,-0.17281191,-1.16401765,0.02672916
FIS,-0.08616853,-0.39645162,0.01825748
FISV,0.07472762,0.33474190,0.01777577
FITB,0.23741250,1.31209420,0.02193112
FIVE,-0.15929362,-2.11570723,0.05270559
FIX,0.50065686,4.21172611,0.03338254
FLEX,0.34467674,2.60286727,0.02996674
FLR,0.07952772,0.61171547,0.03052322
FLUT,0.13410466,0.84416113,0.02497934
FMX,-0.08674304,-0.53931596,0.02467221
FN,0.22568247,2.42515794,0.04264240
FND,0.06602953,0.60716680,0.03648961
FNV,0.17315067,0.98713024,0.02262298
FOXA,-0.10535401,-0.50561164,0.01904432
FSLR,0.08663176,0.91025701,0.04169523
FTAI,-0.30001796,-5.16473913,0.06831257
FTI,0.35864504,2.49827886,0.02764239
FTNT,-0.01629779,-0.11449206,0.02787700
FTV,0.34435957,1.49718589,0.01725294
FUTU,0.21024479,2.58141175,0.04872272
FWONK,-0.03805374,-0.23115074,0.02410446
FXI,0.09969386,0.46655526,0.01857095
GAP,0.00661946,0.06074919,0.03641813
GBTC,0.18067705,1.95987607,0.04304523
GD,0.15106800,0.68769664,0.01806441
GDDY,0.04713592,0.27178496,0.02288089
GDX,0.16439469,1.01245358,0.02443919
GDXJ,0.09915550,0.69415821,0.02778057
GE,0.37749647,2.07233598,0.02178446
GEHC,0.37309980,2.01896655,0.02147354
GEN,0.00927073,0.04756292,0.02035890
GEV,0.44561442,4.35119458,0.03874795
GILD,-0.00005722,-0.00027983,0.01940745
GIS,-0.26201093,-1.31148027,0.01986286
GL,0.23466055,1.39781105,0.02363784
GLD,0.16004827,0.39821351,0.00987335
GLDM,0.15971182,0.41011169,0.01018977
GLW,0.34294115,1.66447196,0.01926000
GM,-0.01941543,-0.14860074,0.03037200
GME,-0.15843560,-2.53092610,0.06339079
GNRC,0.09720474,0.68131257,0.02781368
GOOG,0.14893248,0.92925233,0.02475960
GOOGL,0.14173681,0.89083184,0.02494092
GOVT,-0.00681591,-0.01003772,0.00584401
GPC,0.10113733,0.53538865,0.02100667
GPN,-0.13482804,-0.75563343,0.02223977
GRAB,-0.12134218,-1.25623989,0.04108282
GRMN,0.29420864,1.34897599,0.01819484
GS,0.39624719,2.21191048,0.02215138
GSK,-0.08300704,-0.36009129,0.01721461
GTLB,0.25343732,2.98409014,0.04672409
GTLS,0.32705905,3.15143784,0.03823684
GWRE,0.21990584,1.33852327,0.02415398
GWW,0.36607235,1.69880733,0.01841521
H,-0.00686653,-0.04250216,0.02456251
HAL,0.27903090,1.93737026,0.02755242
HAS,0.06902448,0.41796188,0.02402885
HBAN,0.20733584,1.19890732,0.02294620
HCA,0.18068178,1.08735901,0.02388130
HD,0.28882671,1.34149907,0.01843115
HDB,-0.57185121,-2.30257925,0.01597832
HEI,0.00536697,0.03428087,0.02534674
HIG,0.14242308,0.68169710,0.01899374
HII,0.30838966,1.94741852,0.02505872
HIMS,0.12342177,2.69178516,0.08654622
HLT,0.03712593,0.16282406,0.01740367
HOLX,-0.12535286,-0.69045042,0.02185736
HON,-0.06467635,-0.32020592,0.01964641
HOOD,0.36163279,5.27114016,0.05784106
HPE,0.24665895,1.95200229,0.03140385
HPQ,0.00795980,0.05071504,0.02528333
HRL,-0.20772066,-1.03843000,0.01983796
HSIC,0.25284114,1.69544420,0.02660941
HST,-0.03138952,-0.19523438,0.02468148
HSY,-0.33120388,-2.46795276,0.02956929
HUBB,0.17284234,1.06096649,0.02435853
HUBS,0.03783645,0.26455507,0.02774631
HUM,0.32925657,2.91747554,0.03516189
HWM,0.52412482,3.15772226,0.02390775
HYG,0.20431605,0.19900524,0.00386511
IAU,0.16327957,0.40464113,0.00983417
IBB,-0.00816471,-0.03571271,0.01735728
IBIT,0.17998092,1.98978929,0.04387126
IBKR,0.15963043,1.06256714,0.02641436
IBM,0.11414623,0.56094423,0.01950103
IBN,-0.38406931,-1.40463065,0.01451283
ICE,-0.00355269,-0.01400415,0.01564223
ICLR,-0.19779087,-1.66732063,0.03345125
IDXX,0.10265058,0.67864512,0.02623498
IEF,-0.00877535,-0.01109194,0.00501583
IEFA,0.17732605,0.44538419,0.00996694
IEI,0.00734141,0.00530587,0.00286798
IEMG,0.05015865,0.13140461,0.01039595
IEX,0.25101633,1.24856647,0.01973827
IFF,0.11813034,0.55098365,0.01850873
IGIB,-0.01122904,-0.01262826,0.00446273
IGSB,0.05691092,0.03438987,0.00239792
IGV,0.02371106,0.12687041,0.02123288
IJH,0.27725901,1.02394772,0.01465519
IJR,0.14816337,0.66730253,0.01787234
ILMN,0.13051749,1.18649052,0.03607406
INCY,0.12641480,0.89874237,0.02821219
INDA,-0.45774608,-1.05872525,0.00917821
INFY,-0.32301337,-1.59209897,0.01955911
INSM,0.10442184,1.00137706,0.03805448
INTC,0.17858419,1.68257730,0.03738794
INTU,-0.11497488,-0.70091069,0.02419130
INVH,-0.01221154,-0.06082725,0.01976638
IOT,0.16484005,1.69107755,0.04070992
IP,0.35493350,1.74902720,0.01955460
IQV,0.04779594,0.31147589,0.02586026
IR,0.07222314,0.40722795,0.02237488
IREN,0.14893134,3.78321163,0.10080313
IRM,0.16122515,1.11024860,0.02732668
ISRG,0.57259899,3.19625814,0.02215087
IT,0.36752568,1.64892825,0.01780383
ITOT,0.19014824,0.61207163,0.01277349
ITUB,0.27275284,1.88366781,0.02740530
ITW,0.15765832,0.64414908,0.01621321
IUSB,0.00103934,0.00131185,0.00500869
IVE,0.20237243,0.54932750,0.01077158
IVV,0.17721299,0.55577005,0.01244512
IVW,0.14394171,0.59087345,0.01628948
IWB,0.19668328,0.61936634,0.01249625
IWD,0.32320369,0.90884963,0.01115874
IWF,0.09934269,0.41701152,0.01665757
IWM,0.10476203,0.50432893,0.01910334
IWN,0.10192194,0.47823024,0.01861953
IWO,0.10286964,0.52537190,0.02026652
IWP,0.22869862,0.95302630,0.01653639
IWR,0.28109343,0.93560646,0.01320815
IXUS,0.13352990,0.32287259,0.00959516
IYR,0.11056580,0.44744389,0.01605895
IYW,0.06398895,0.30337112,0.01881346
J,0.25611110,1.17749296,0.01824439
JAAA,0.39320679,0.08428697,0.00085063
JBHT,0.05130947,0.29193785,0.02257836
JBL,0.54987052,3.35820107,0.02423515
JCI,0.13342972,0.70414462,0.02094155
JD,0.42065767,3.47601291,0.03279080
JEPI,0.19257604,0.44461081,0.00916172
JEPQ,0.15395900,0.45546362,0.01173946
JKHY,0.00917994,0.04040422,0.01746571
JNJ,0.13841441,0.54355505,0.01558338
JNK,0.19153859,0.18522932,0.00383754
JPM,0.45366645,2.08783247,0.01826242
JPST,0.36309168,0.04997128,0.00054614
K,0.23813282,0.22348275,0.00372412
KDP,0.01937795,0.09344929,0.01913673
KEY,0.29691404,1.94191368,0.02595366
KEYS,0.13749572,0.76645903,0.02212072
KGC,0.13890317,1.18524927,0.03386078
KHC,-0.24854223,-1.23065524,0.01964878
KIM,-0.13958310,-0.72611982,0.02064310
KKR,0.20360396,1.47086446,0.02866724
KLAC,0.60957654,4.45991278,0.02903338
KMB,-0.16529823,-0.64766953,0.01554836
KMI,0.39508418,1.92184197,0.01930312
KNSL,-0.11211391,-0.93822276,0.03320824
KNX,0.15446036,1.05141796,0.02701207
KO,0.09665829,0.36227911,0.01487317
KR,-0.26739672,-1.48237641,0.02199895
KRE,0.22467235,1.43613785,0.02536565
