

=== CLUSTER STATISTICS ===
 Cluster_ID  Size  Avg_Correlation  Avg_Raw_Score  Avg_Risk_Adj_Score  Avg_Volatility
          6    PDD     0.8769         31.0945      0.0282
          6     MT     1.1482         30.2110      0.0380
          6     JD     0.9695         28.8253      0.0336
          6   BEKE     1.1740         27.1631      0.0432
          6   VALE     0.5757         23.6096      0.0244
          6   BIDU     0.4693         18.2298      0.0257
          6   FUTU     0.9095         16.8258      0.0541
          6    TME     0.2074          5.9439      0.0349
          6     CX     0.0104          0.3949      0.0263
          6   INDA    -0.0112         -1.3479      0.0083
          6    GME    -0.5185        -16.8229      0.0308
          6    SUZ    -0.2873        -26.1874      0.0110
          7    EFV     0.9902        103.8378      0.0095
          7    EWU     0.8705         90.5985      0.0096
          7   DFIV     0.8837         84.5868      0.0104
          7    ING     1.5483         76.8036      0.0202
          7   FNDF     0.7639         76.0279      0.0100
          7   BBVA     1.5393         73.6692      0.0209
          7   DFIC     0.7045         67.6368      0.0104
          7   DFAX     0.6532         66.3397      0.0098
          7    SCZ     0.6500         61.1801      0.0106
          7    HMC     1.0095         60.6439      0.0166
          7   IEUR     0.7179         60.1165      0.0119
          7    NOK     1.1584         59.9843      0.0193
          7    EZU     0.8203         58.7533      0.0140
          7   DFAI     0.6060         58.5822      0.0103
          7    VGK     0.7036         57.8765      0.0122
          7   IEFA     0.6288         57.5332      0.0109
          7    SAN     1.4317         57.1145      0.0251
          7    EFA     0.6246         56.6704      0.0110
          7    PUK     1.1075         55.6084      0.0199
          7    VEU     0.5660         53.2161      0.0106
          7   ACWX     0.5589         52.3799      0.0107
          7   VXUS     0.5432         51.6645      0.0105
          7    FEZ     0.7275         51.2986      0.0142
          7   SCHF     0.5491         50.8989      0.0108
          7   IXUS     0.5425         50.2859      0.0108
          7    VEA     0.5486         50.1511      0.0109
          7   IDEV     0.5449         49.4879      0.0110
          7   SPDW     0.5343         48.8259      0.0109
          7   BBJP     0.5382         48.7009      0.0111
          7   IQLT     0.4906         48.2615      0.0102
          7    EWJ     0.5259         46.3359      0.0113
          7   HSBC     0.7739         43.8880      0.0176
          7     DB     1.4946         42.4902      0.0352
          7   HEFA     0.3941         39.2178      0.0100
          7   DBEF     0.3526         35.4594      0.0099
          7    NWG     0.6940         26.6165      0.0261
          7    EFG     0.2945         22.7738      0.0129
          7    BCS     0.5695         19.1819      0.0297
          7   CGXU     0.2286         14.5666      0.0157
          7  RYAAY     0.2516         10.5306      0.0239
          7   ERIC     0.1969          8.2271      0.0239
          7    UBS     0.0990          3.9416      0.0251
          7    SAP    -0.0882         -3.8264      0.0231
          7    WIT    -0.8403        -51.0733      0.0165
          7   INFY    -1.1135        -93.4051      0.0119
          8    EBR     1.5483        110.6054      0.0140
          8    SBS     1.3647         90.3175      0.0151
          8   ITUB     1.3671         73.2866      0.0187
          8    EWZ     1.2343         70.6174      0.0175
          8    VIV     0.8266         41.2984      0.0200
          8    BBD     0.9329         39.5578      0.0236
          9   SHEL     1.6029        187.7487      0.0085
          9     BP     0.9481         60.2751      0.0157
          9     EC     0.8398         34.0433      0.0247
          9     TD     0.3857         33.3150      0.0116
          9  PBR-A     0.4800         23.8656      0.0201
          9    PBR     0.3821         17.6864      0.0216
          9   DUOL    -0.7323        -13.8294      0.0530
          9   CART    -0.5811        -16.9242      0.0343
          9   KEYS    -0.4698        -24.0759      0.0195
          9   NTAP    -0.8372        -25.5887      0.0327
          9    ROK    -0.6233        -29.5116      0.0211
          9    HPQ    -0.7864        -37.3203      0.0211
         10    AJG     0.3780         27.4793      0.0138
         10     KR     0.2384         13.2324      0.0180
         10   GWRE     0.1977          6.2564      0.0316
         10     DG     0.1566          4.5238      0.0346
         10    IOT    -0.6482        -13.6720      0.0474
         10    VMC    -0.3075        -14.6311      0.0210
         10    WDS    -0.2715        -16.4945      0.0165
         10    LLY    -0.3768        -18.2651      0.0206
         10  FWONK    -0.4708        -20.6557      0.0228
         10    COO    -0.6455        -23.5431      0.0274
         10    HPE    -1.0163        -27.7003      0.0367
         10   COST    -0.7263        -34.8783      0.0208
         11   MPLX     0.4523         35.5526      0.0127
         11    MMM     0.4707         25.5250      0.0184
         11    HDB     0.2362         20.7584      0.0114
         11     GE     0.3246         19.1443      0.0170
         11   SMMT     0.7549         13.5737      0.0556
         11    HWM     0.1828          7.0716      0.0258
         11    EQH     0.0992          3.7972      0.0261
         11    MFC     0.0643          2.7476      0.0234
         11    CRH     0.0167          0.5848      0.0286
         11   NFLX     0.0164          0.5764      0.0284
         11   CRBG    -0.0107         -0.3745      0.0287
         11    JCI    -0.0179         -0.8613      0.0207
         11   DASH    -0.1075         -3.6948      0.0291
         11   CHWY    -0.2535         -7.5688      0.0335
         11   TOST    -0.3175         -8.3691      0.0379
         11   ESTC    -0.5423        -10.9438      0.0496
         11    WCC    -0.3693        -12.5807      0.0294
         11    COF    -0.3642        -13.2504      0.0275
         11    DFS    -0.4199        -14.3386      0.0293
         11   USFD    -0.2728        -14.7101      0.0185
         11   META    -0.3906        -15.6463      0.0250
         11   SHOP    -0.6771        -17.7847      0.0381
         11    APO    -0.5133        -18.3960      0.0279
         11     CG    -0.6348        -18.9767      0.0335
         11   TWLO    -0.8132        -19.4306      0.0419
         11   KVYO    -0.9244        -20.3082      0.0455
         11    DOV    -0.4228        -20.6260      0.0205
         11   CBRE    -0.4973        -20.6505      0.0241
         11    KKR    -0.8200        -23.0180      0.0356
         11    OWL    -0.6484        -23.7931      0.0273
         11    AXP    -0.5096        -23.8613      0.0214
         11   PFGC    -0.5116        -24.4209      0.0209
         11    CRM    -0.5727        -25.1539      0.0228
         11     SN    -0.7568        -25.4391      0.0297
         11     BN    -0.6237        -25.5870      0.0244
         11    TRU    -0.6702        -25.9715      0.0258
